Function,Time
transform_load_master_tradetype,0.0387568473815918
transform_load_master_statustype,0.025374412536621094
transform_load_master_taxrate,0.026753664016723633
transform_load_master_industry,0.01968073844909668
transform_load_master_dimdate,0.14234256744384766
transform_load_master_dimtime,0.16411280632019043
transform_load_master_dimcompany,0.07315945625305176
transform_load_master_dimmessage_dimcompany,0.02294015884399414
transform_load_master_dimbroker,0.04702877998352051
transform_load_master_prospect,0.17859768867492676
transform_load_master_dimcustomer,0.23776865005493164
load_master_dimessages_dimcustomer,0.023801803588867188
update_master_prospect,0.09032058715820312
transform_load_master_dimaccount,0.11773276329040527
transform_load_master_dimsecurity,0.042962074279785156
transform_load_master_dimtrade,0.10321211814880371
load_master_dimessages_dimtrade,0.004382133483886719
transform_load_financial,1.867100715637207
transform_load_fact_cash_balances,2.5056517124176025
transform_load_fact_holdings,0.05343985557556152
transform_load_fact_watches,0.18723106384277344
transform_load_fact_market_history,2.1779818534851074
load_fact_market_history_message,0.002946138381958008
