Function,Time
transform_load_master_tradetype,0.013677358627319336
transform_load_master_statustype,0.013853788375854492
transform_load_master_taxrate,0.011319875717163086
transform_load_master_industry,0.010381221771240234
transform_load_master_dimdate,0.09431838989257812
transform_load_master_dimtime,0.10570597648620605
transform_load_master_dimcompany,0.0770881175994873
transform_load_master_dimmessage_dimcompany,0.017059326171875
transform_load_master_dimbroker,0.025276899337768555
transform_load_master_prospect,0.14092659950256348
transform_load_master_dimcustomer,1.443573236465454
load_master_dimessages_dimcustomer,0.050984859466552734
update_master_prospect,0.09587907791137695
transform_load_master_dimaccount,0.10389089584350586
transform_load_master_dimsecurity,0.4593985080718994
transform_load_master_dimtrade,2.842360496520996
load_master_dimessages_dimtrade,0.06741166114807129
transform_load_financial,7.468519449234009
transform_load_fact_cash_balances,0.5202553272247314
transform_load_fact_holdings,0.5665152072906494
transform_load_fact_watches,0.4072849750518799
transform_load_fact_market_history,3.588379144668579
load_fact_market_history_message,0.02358222007751465
