Function,Time
transform_load_master_tradetype,0.008569717407226562
transform_load_master_statustype,0.014047384262084961
transform_load_master_taxrate,0.010740041732788086
transform_load_master_industry,0.010455846786499023
transform_load_master_dimdate,0.09356212615966797
transform_load_master_dimtime,0.08544611930847168
transform_load_master_dimcompany,0.06557488441467285
transform_load_master_dimmessage_dimcompany,0.024149417877197266
transform_load_master_dimbroker,0.05977201461791992
transform_load_master_prospect,0.7357325553894043
transform_load_master_dimcustomer,0.3914639949798584
load_master_dimessages_dimcustomer,0.0402524471282959
update_master_prospect,0.13590312004089355
transform_load_master_dimaccount,0.24139142036437988
transform_load_master_dimsecurity,2.3145294189453125
transform_load_master_dimtrade,8.986010789871216
load_master_dimessages_dimtrade,0.08114814758300781
transform_load_financial,29.271565914154053
transform_load_fact_cash_balances,0.6171877384185791
transform_load_fact_holdings,1.250328779220581
transform_load_fact_watches,0.6435086727142334
transform_load_fact_market_history,7.0124287605285645
load_fact_market_history_message,0.05492115020751953
